Company,Ticker
4imprint,FOUR
Anglo-Eastern Plantations,AEP
B&M,BME
Baillie Gifford US Growth Trust,USA
Balfour Beatty,BBY
Baltic Classifieds,BCG
British Land,BLND
Carnival Corporation & plc,CCL
Computacenter,CCC
Cranswick,CWK
Diversified Energy,DEC
Dr. Martens,DOCS
Edinburgh Worldwide Investment Trust,EWI
Empiric Student Property,ESP
European Opportunities Trust,EOT
Fidelity Special Values,FSV
Foresight Environmental Infrastructure,FGEN
Genuit Group,GEN
Genus,GNS
Grainger,GRI
Harbour Energy,HBR
Hays,HAS
Herald Investment Trust,HRI
Kainos,KNOS
Lancashire Holdings,LRE
Man Group,EMG
Mercantile Investment Trust,MRC
Metro Bank,MTRO
Molten Ventures,GROW
Morgan Advanced Materials,MGAM
Murray International Trust,MYI
Pacific Horizon Investment Trust,PHI
Paragon Banking Group,PAG
Partners Group Private Equity,PEY
PayPoint,PAY
Pets at Home,PETS
Pinewood Technologies,PINE
Plus500,PLUS
PPHE Hotel Group,PPH
Premier Foods,PFD
Safestore,SAFE
Schroder Asian Total Return Investment Company,ATR
Sequoia Economic Infrastructure Income Fund,SEQI
Shaftesbury Capital,SHC
Sirius Real Estate,SRE
Taylor Wimpey,TW
Templeton Emerging Markets Investment Trust,TEM
THG,THG
Trainline,TRN
Trustpilot,TRST
Unite Group,UTG
Wickes,WIX
