Company Ticker,Sector,Industry,MarketCap,Currency,MarketCap_USD
0001.HK,Industrials,Conglomerates,198396297216,HKD,25519834748.672413
0002.HK,Utilities,Utilities - Regulated Electric,168514256896,HKD,21676089973.08662
0003.HK,Utilities,Utilities - Regulated Gas,135657259008,HKD,17449674620.554447
0005.HK,Financial Services,Banks - Diversified,1863953154048,HKD,239761412577.0867
0006.HK,Utilities,Utilities - Independent Power Producers,106661814272,HKD,13719973166.895924
0011.HK,Financial Services,Banks - Regional,284124610560,HKD,36547119131.09914
0012.HK,Real Estate,Real Estate - Diversified,134784212992,HKD,17337374187.688755
0016.HK,Real Estate,Real Estate - Development,284706897920,HKD,36622019103.588356
0017.HK,Real Estate,Real Estate - Diversified,17968523264,HKD,2311301928.5622787
0027.HK,Consumer Cyclical,Resorts & Casinos,168258437120,HKD,21643183721.807873
0066.HK,Industrials,Railroads,179737395200,HKD,23119728987.013123
0101.HK,Real Estate,Real Estate Services,43032064000,HKD,5535240211.5584
0175.HK,Consumer Cyclical,Auto Manufacturers,177686020096,HKD,22855859376.56054
0241.HK,Healthcare,Pharmaceutical Retailers,92212035584,HKD,11861289464.391272
0267.HK,Industrials,Conglomerates,361010167808,HKD,46436954491.24373
0288.HK,Consumer Defensive,Packaged Foods,99562504192,HKD,12806784651.719477
0291.HK,Consumer Defensive,Beverages - Brewers,84084482048,HKD,10815837376.52347
0316.HK,Industrials,Marine Shipping,88556068864,HKD,11391020271.61764
0322.HK,Consumer Defensive,Packaged Foods,64087191552,HKD,8243573901.648692
0386.HK,Energy,Oil & Gas Integrated,695127375872,HKD,89414651434.8409
0388.HK,Financial Services,Financial Data & Stock Exchanges,537918963712,HKD,69192839053.65279
0669.HK,Industrials,Tools & Accessories,162121318400,HKD,20853762458.583042
0688.HK,Real Estate,Real Estate - Development,142064582656,HKD,18273852505.790874
0700.HK,Communication Services,Internet Content & Information,5698343141376,HKD,732981297281.0797
0762.HK,Communication Services,Telecom Services,290986983424,HKD,37429830270.01918
0823.HK,Real Estate,REIT - Retail,106184835072,HKD,13658619046.212404
0836.HK,Utilities,Utilities - Independent Power Producers,98157010944,HKD,12625995211.933287
0857.HK,Energy,Oil & Gas Integrated,1873952112640,HKD,241047584620.15082
0868.HK,Basic Materials,Building Materials,40657559552,HKD,5229806279.709492
0881.HK,Consumer Cyclical,Auto & Truck Dealerships,28285577216,HKD,3638390768.64041
0883.HK,Energy,Oil & Gas E&P,1001117581312,HKD,128774355154.71136
0939.HK,Financial Services,Banks - Diversified,2154359816192,HKD,277116595772.6667
0941.HK,Communication Services,Telecom Services,1901148241920,HKD,244545839047.11478
0960.HK,Real Estate,Real Estate - Development,65039765504,HKD,8366104060.6388235
0968.HK,Technology,Solar,32380534784,HKD,4165127617.5867906
0981.HK,Technology,Semiconductors,689961893888,HKD,88750212387.94978
0992.HK,Technology,Computer Hardware,140668829696,HKD,18094315965.0943
1023.KL,Financial Services,Banks - Regional,81324720128,MYR,19386107085.886913
1038.HK,Utilities,Utilities - Regulated Electric,128500154368,HKD,16529051956.448462
1044.HK,Consumer Defensive,Household & Personal Products,31489345536,HKD,4050493409.903002
1066.KL,Financial Services,Banks - Regional,30184443904,MYR,7195338157.080494
1082.KL,Financial Services,Banks - Regional,19531925504,MYR,4656001260.356526
1088.HK,Energy,Thermal Coal,917716271104,HKD,118046394581.8702
1093.HK,Healthcare,Drug Manufacturers - General,83955015680,HKD,10799184039.927809
1099.HK,Healthcare,Medical Distribution,60571934720,HKD,7791404306.194432
1109.HK,Real Estate,Real Estate - Development,199951548416,HKD,25719887643.67913
1113.HK,Real Estate,Real Estate - Development,138241245184,HKD,17782054312.765034
1155.KL,Financial Services,Banks - Regional,120205017088,MYR,28654354172.520695
1177.HK,Healthcare,Biotechnology,124663480320,HKD,16035538271.649794
1209.HK,Real Estate,Real Estate Services,90295705600,HKD,11614790788.751362
1211.HK,Consumer Cyclical,Auto Manufacturers,936609775616,HKD,120476677403.35146
1295.KL,Financial Services,Banks - Regional,82689556480,MYR,19711455437.93705
1299.HK,Financial Services,Insurance - Life,833591836672,HKD,107225418106.22137
1378.HK,Basic Materials,Aluminum,282675511296,HKD,36360720623.311264
1398.HK,Financial Services,Banks - Diversified,2893392904192,HKD,372178865301.95953
1810.HK,Technology,Consumer Electronics,1130742546432,HKD,145448092193.07602
1876.HK,Consumer Defensive,Beverages - Brewers,102570385408,HKD,13193690217.262285
1928.HK,Consumer Cyclical,Resorts & Casinos,159844253696,HKD,20560862259.4687
1929.HK,Consumer Cyclical,Luxury Goods,133965946880,HKD,17232120126.74253
1961.KL,Consumer Defensive,Packaged Foods,25062936576,MYR,5974478259.309035
1997.HK,Real Estate,Real Estate Services,68983078912,HKD,8873334830.297909
2015.HK,Consumer Cyclical,Auto Manufacturers,157565714432,HKD,20267772386.816822
2020.HK,Consumer Cyclical,Leisure,220531769344,HKD,28367133809.78033
2269.HK,Healthcare,Biotechnology,141377142784,HKD,18185426702.59159
2313.HK,Consumer Cyclical,Textile Manufacturing,99362996224,HKD,12781121822.090855
2318.HK,Financial Services,Insurance - Life,1104658563072,HKD,142092893763.0892
2319.HK,Consumer Defensive,Packaged Foods,54689755136,HKD,7034776016.996762
2331.HK,Consumer Cyclical,Leisure,42848354304,HKD,5511609523.136103
2359.HK,Healthcare,Diagnostics & Research,302696300544,HKD,38936006756.75505
2382.HK,Technology,Electronic Components,76938543104,HKD,9896650962.593384
2388.HK,Financial Services,Banks - Regional,408109318144,HKD,52495346458.45361
2445.KL,Industrials,Conglomerates,23386847232,MYR,5574933724.053872
2628.HK,Financial Services,Insurance - Life,1167987310592,HKD,150238908553.83533
2688.HK,Utilities,Utilities - Regulated Gas,74566057984,HKD,9591476778.11671
2899.HK,Basic Materials,Gold,817993154560,HKD,105218950266.94554
3690.HK,Consumer Cyclical,Internet Retail,610076065792,HKD,78474450388.46445
3692.HK,Healthcare,Drug Manufacturers - Specialty & Generic,212151681024,HKD,27289198021.125736
3816.KL,Industrials,Marine Shipping,34147653632,MYR,8140084208.0956
3968.HK,Financial Services,Banks - Regional,1197217415168,HKD,153998794443.50894
3988.HK,Financial Services,Banks - Diversified,1860820795392,HKD,239358495403.7502
4065.KL,Consumer Defensive,Farm Products,16359887872,MYR,3899854038.2372456
4197.KL,Consumer Cyclical,Auto Manufacturers,13971975168,MYR,3330625748.012175
4677.KL,Utilities,Utilities - Diversified,29311318016,MYR,6987203263.562425
4707.KL,Consumer Defensive,Packaged Foods,26498500608,MYR,6316686606.404444
4863.KL,Communication Services,Telecom Services,28015491072,MYR,6678305306.562109
5183.KL,Basic Materials,Chemicals,30319998976,MYR,7227651642.299884
5211.KL,Industrials,Conglomerates,33928210432,MYR,8087773553.133937
5225.KL,Healthcare,Medical Care Facilities,73163350016,MYR,17440607676.731064
5285.KL,Consumer Defensive,Packaged Foods,36653289472,MYR,8737375224.111677
5296.KL,Consumer Cyclical,Home Improvement Retail,15637835776,MYR,3727731967.2038193
5326.KL,Consumer Cyclical,Department Stores,26123999232,MYR,6227413335.404913
5347.KL,Utilities,Utilities - Regulated Electric,77527588864,MYR,18480950656.36323
5398.KL,Industrials,Engineering & Construction,29579788288,MYR,7051200943.900918
5681.KL,Energy,Oil & Gas Refining & Marketing,22452060160,MYR,5352100097.921844
5819.KL,Financial Services,Banks - Regional,43545382912,MYR,10380305704.087307
5E2.SI,Energy,Oil & Gas Equipment & Services,7348779008,SGD,5624008081.898087
