Company Ticker,Sector,Industry,MarketCap,Currency
ALIT,Technology,Software - Application,1511097856,USD
ALK,Industrials,Airlines,4732600320,USD
ALKS,Healthcare,Drug Manufacturers - Specialty & Generic,4981595136,USD
ALKT,Technology,Software - Application,2121081088,USD
ALL,Financial Services,Insurance - Property & Casualty,50395394048,USD
ALL.AX,Consumer Cyclical,Gambling,38893772800,AUD
ALLE,Industrials,Security & Protection Services,14167741440,USD
ALLO,Healthcare,Biotechnology,261819600,USD
ALLY,Financial Services,Credit Services,12131134464,USD
ALMS,Healthcare,Biotechnology,474533216,USD
ALMU,Technology,Semiconductors,292413504,USD
ALNT,Technology,Electronic Components,951572736,USD
ALNY,Healthcare,Biotechnology,57346646016,USD
ALPA4.SA,Consumer Cyclical,Footwear & Accessories,6927275008,BRL
ALQ.AX,Industrials,Consulting Services,11102600192,AUD
ALRM,Technology,Software - Application,2448839936,USD
ALRS,Financial Services,Banks - Regional,536378016,USD
ALSN,Consumer Cyclical,Auto Parts,6770656256,USD
ALT,Healthcare,Biotechnology,349498752,USD
ALTG,Industrials,Rental & Leasing Services,191967184,USD
ALTI,Financial Services,Asset Management,579280832,USD
ALTR.LS,Basic Materials,Paper & Paper Products,1000975296,EUR
ALV,Consumer Cyclical,Auto Parts,9048231936,USD
ALW.L,Financial Services,Asset Management,4953470976,GBp
ALX,Real Estate,REIT - Retail,1146637696,USD
ALX.AX,Industrials,Infrastructure Operations,7109933056,AUD
AM,Energy,Oil & Gas Midstream,8320524288,USD
AMAL,Financial Services,Banks - Regional,827741440,USD
AMAT,Technology,Semiconductor Equipment & Materials,189369876480,USD
AMBA,Technology,Semiconductor Equipment & Materials,3640518656,USD
AMBC,Financial Services,Insurance - Specialty,393022720,USD
AMBP,Consumer Cyclical,Packaging & Containers,2020224640,USD
AMBQ,Technology,Semiconductors,534110848,USD
AMC,Communication Services,Entertainment,1323394304,USD
AMC.AX,Consumer Cyclical,Packaging & Containers,27746488320,AUD
AMCR,Consumer Cyclical,Packaging & Containers,18143709184,USD
AMCX,Communication Services,Entertainment,325378592,USD
AMD,Technology,Semiconductors,421371346944,USD
AME,Industrials,Specialty Industrial Machinery,45743812608,USD
AMER3.SA,Consumer Cyclical,Internet Retail,1055287232,BRL
AMG,Financial Services,Asset Management,7289399296,USD
AMG.AS,Basic Materials,Other Industrial Metals & Mining,913775936,EUR
AMGN,Healthcare,Drug Manufacturers - General,159516606464,USD
AMH,Real Estate,REIT - Residential,13418056704,USD
AMKR,Technology,Semiconductor Equipment & Materials,9353799680,USD
AMLX,Healthcare,Biotechnology,1450677120,USD
AMN,Healthcare,Medical Care Facilities,750388928,USD
AMP,Financial Services,Asset Management,42028687360,USD
AMP.AX,Financial Services,Financial Conglomerates,4493478400,AUD
AMP.MI,Healthcare,Medical Distribution,3241642240,EUR
AMPH,Healthcare,Drug Manufacturers - Specialty & Generic,1176325376,USD
AMPL,Technology,Software - Application,1315920512,USD
AMPX,Industrials,Electrical Equipment & Parts,1696028416,USD
AMR,Basic Materials,Coking Coal,2372793344,USD
AMRC,Industrials,Engineering & Construction,2108146432,USD
AMRK,Financial Services,Capital Markets,649379584,USD
AMRX,Healthcare,Drug Manufacturers - Specialty & Generic,3516117504,USD
AMS.MC,Technology,Information Technology Services,28397940736,EUR
AMSC,Industrials,Specialty Industrial Machinery,2738107136,USD
AMSF,Financial Services,Insurance - Specialty,753380416,USD
AMT,Real Estate,REIT - Specialty,82693423104,USD
AMTB,Financial Services,Banks - Regional,718228416,USD
AMTM,Industrials,Specialty Business Services,5401895936,USD
AMWD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",914495296,USD
AMZN,Consumer Cyclical,Internet Retail,2715314814976,USD
AN,Consumer Cyclical,Auto & Truck Dealerships,7065262080,USD
ANA.MC,Industrials,Engineering & Construction,10698980352,EUR
