Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Cumulative Growth (%),Index Name,Ticker,Continent
2019-07-01 00:00:00+01:00,80.0,80.2699966430664,79.62999725341797,79.69999694824219,4791,0.0,0.0,0.0,0.0,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2019-08-01 00:00:00+01:00,79.13999938964844,79.13999938964844,75.0,77.11000061035156,6662997,0.0,0.0,0.0,-3.2496818532785965,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2019-09-01 00:00:00+01:00,77.33000183105469,80.27999877929688,76.75,79.0999984741211,244865,0.0,0.0,0.0,-0.7528212008724888,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2019-10-01 00:00:00+01:00,79.41000366210938,81.7300033569336,76.72000122070312,81.02999877929688,54889,0.0,0.0,0.0,1.6687602032386506,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2019-11-01 00:00:00+00:00,81.5,83.7300033569336,81.41999816894531,83.34500122070312,139619,0.0,0.0,0.0,4.573405786738016,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2019-12-01 00:00:00+00:00,83.38999938964844,86.73999786376953,81.5999984741211,85.93499755859375,70997,0.0,0.0,0.0,7.823087640016624,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2020-01-01 00:00:00+00:00,85.93499755859375,88.55000305175781,85.12999725341797,85.11499786376953,157139,0.0,0.0,0.0,6.794229765208004,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2020-02-01 00:00:00+00:00,85.77999877929688,88.76000213623047,76.26000213623047,77.19999694824219,196677,0.0,0.0,0.0,-3.1367629808361497,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2020-03-01 00:00:00+00:00,79.5999984741211,82.63999938964844,58.08852005004883,68.72000122070312,744276,0.0,0.0,0.0,-13.776657651153435,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2020-04-01 00:00:00+01:00,65.81999969482422,76.16999816894531,64.5,74.91000366210938,467059,0.0,0.0,0.0,-6.0100294473580345,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2020-05-01 00:00:00+01:00,73.44000244140625,78.7300033569336,71.30999755859375,77.6500015258789,229545,0.0,0.0,0.0,-2.572139900701076,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2020-06-01 00:00:00+01:00,79.12000274658203,84.02999877929688,77.6500015258789,80.51499938964844,437252,0.0,0.0,0.0,1.022587794997687,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2020-07-01 00:00:00+01:00,80.69999694824219,86.20999908447266,80.11000061035156,84.45999908447266,815753,0.0,0.0,0.0,5.97239939585148,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2020-08-01 00:00:00+01:00,84.94000244140625,90.43000030517578,84.62999725341797,90.2300033569336,200387,0.0,0.0,0.0,13.212053716300233,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2020-09-01 00:00:00+01:00,90.5999984741211,91.80000305175781,84.0999984741211,87.56999969482422,321256,0.0,0.0,0.0,9.87453330982293,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2020-10-01 00:00:00+01:00,88.02999877929688,91.5199966430664,84.47000122070312,85.05000305175781,536934,0.0,0.0,0.0,6.712680437102092,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2020-11-01 00:00:00+00:00,85.4800033569336,96.68000030517578,85.25,95.19999694824219,472111,0.0,0.0,0.0,19.447930481184116,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2020-12-01 00:00:00+00:00,96.0,100.30000305175781,95.87999725341797,99.8499984741211,530771,0.0,0.0,0.0,25.282311540067525,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2021-01-01 00:00:00+00:00,99.8499984741211,104.08000183105469,99.27999877929688,99.83999633789062,548679,0.0,0.0,0.0,25.269761807804734,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2021-02-01 00:00:00+00:00,100.5199966430664,107.0,100.19999694824219,102.0199966430664,3017212,0.0,0.0,0.0,28.005019509999496,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2021-03-01 00:00:00+00:00,103.04000091552734,105.9000015258789,100.05999755859375,104.86000061035156,777101,0.0,0.0,0.0,31.568387234002635,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2021-04-01 00:00:00+01:00,105.18000030517578,110.69999694824219,105.0999984741211,109.23999786376953,2190753,0.0,0.0,0.0,37.063992530276835,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
2021-05-01 00:00:00+01:00,109.23999786376953,111.23999786376953,105.55999755859375,111.12000274658203,677548,0.0,0.0,0.0,39.422844418355815,Vanguard FTSE All-World UCITS ETF,VWRA.L,Europe
